名称,名称2,承载,省份,县市,year,length,category,序号,longitude,latitude,elevation
青康公路通天河大桥,,公路,青海省,"称多县
玉树县",1963,50,拱桥,18,97.24639494,33.00775039,3532
邓玛奴桑巴桥,,公路,"四川省
西藏自治区","石渠县
江达县",1988,150,悬索桥,22,97.99634444,32.46026639,3287
岗托大桥,,公路,"四川省
西藏自治区","德格县
江达县",1974,70,拱桥,24,98.59059678,31.62557528,3031
因都坝大桥,,公路,"四川省
云南省","得荣县
德钦县",2006,90,拱桥,50,99.16641444,28.60608956,2109
伏龙桥,,公路,"四川省
云南省","得荣县
德钦县",1959,108,悬索桥,59,99.38836817,28.17168933,1993
214国道香德公路金沙江大桥,,214国道,"四川省
云南省","得荣县
德钦县",2013,130,拱桥,61,99.39167533,28.16588617,1997
松园大桥,,214国道,云南省,"香格里拉市
玉龙县",1996,170,拱桥,66,100.0714439,27.0049345,1810
继红桥,,公路,云南省,"香格里拉市
玉龙县",1971,75,拱桥,68,100.0552254,27.13141044,1809
"革囊渡大桥
（奉科大桥）",,公路,云南省,"宁蒗县
玉龙县",2013,150,梁式桥,76,100.4435421,27.60418633,1453
阿海大桥,,公路,云南省,"宁蒗县
玉龙县",2009,120,拱桥,77,100.5065978,27.3349545,1456
新树底大桥,,991省道,云南省,"永胜县
丽江市",2010,105,梁式桥,79,100.4377944,27.00635244,1366
金安桥,,308省道,云南省,"永胜县
丽江市",1982,110,拱桥,82,100.4296611,26.79639444,1303
"金龙桥
（梓里江桥）",,步道,云南省,"永胜县
丽江市","1879
1936",92,悬索桥,83,100.3858167,26.78273889,1292
观音岩大桥,,公路,四川省,攀枝花市,2009,114,拱桥,95,101.4469722,26.53139444,1024
观音岩引水工程观音岩管桥,,供水管道,四川省,攀枝花市,2017,108,拱桥,96,101.4547611,26.53726111,1024
丽攀高速公路庄上大桥,,蓉丽高速,四川省,攀枝花市,2014,180,梁式桥,97,101.4980278,26.59245,1010
"宝鼎大桥
（陶家渡大桥）",,"陶家渡西路
传送带",四川省,攀枝花市,1982,170,拱桥,99,101.5708667,26.59673333,1011
观音岩引水工程陶家渡管桥,,供水管道,四川省,攀枝花市,2019,140,拱桥,100,101.5769622,26.59640444,1012
法拉大桥,,"陶家渡东路
陶家渡中路",四川省,攀枝花市,2005,190,拱桥,101,101.6002389,26.5875,1014
丽攀高速公路大水井大桥,,蓉丽高速,四川省,攀枝花市,2014,230,梁式桥,102,101.61995,26.59028889,1004
新庄大桥,,"310省道
苏铁东路",四川省,攀枝花市,1972,146,拱桥,106,101.6544722,26.58552778,1022
观音岩引水工程503管桥,,供水管道,四川省,攀枝花市,2018,150,拱桥,107,101.65755,26.58605556,998
"攀钢冷轧厂专用线
金沙江大桥",,攀钢冷轧厂专用铁路,四川省,攀枝花市,1995,168,梁式桥,108,101.6613444,26.57365556,1036
观音岩引水工程荷花池管桥,,供水管道,四川省,攀枝花市,2019,130,拱桥,109,101.6611646,26.57195072,1011
荷花池大桥,,钢城大道西段,四川省,攀枝花市,1976,110,拱桥,110,101.66255,26.56855556,1013
渡口大桥,,310省道,四川省,攀枝花市,"1966
2005",180,拱桥,111,101.6967333,26.55745,999
渡口吊桥,,市政煤气管道,四川省,攀枝花市,1965,180,悬索桥,112,101.6980278,26.56336667,993
炳草岗大桥,,弄弄坪东路,四川省,攀枝花市,2001,200,斜拉桥,113,101.7039444,26.57557778,988
密地大桥,,"公路
攀钢尾矿管道",四川省,攀枝花市,"1969
2014",181,拱桥,116,101.7494222,26.57605556,983
新密地大桥,,"公路
攀钢尾矿管道",四川省,攀枝花市,"2011
2013",182,拱桥,117,101.7497111,26.57586667,985
倮果大桥,,214省道,四川省,攀枝花市,"1995
(2013)",160,拱桥,120,101.7886056,26.60115556,991
"丽攀高速公路青龙山大桥
（丽攀高速公路倮果大桥）",,蓉丽高速,四川省,攀枝花市,2014,230,梁式桥,121,101.79495,26.60418333,982
成昆铁路金沙江大桥,,成昆铁路,四川省,"盐边县
攀枝花市",1970,192,梁式桥,123,101.8363944,26.58139444,981
三堆子大桥,,公路,四川省,"盐边县
攀枝花市",2019,200,梁式桥,124,101.84245,26.57860556,977
西攀高速公路金沙江大桥,,京昆高速,四川省,"盐边县
攀枝花市",2008,324,斜拉桥,125,101.8519722,26.57273889,977
鱼鲊大桥,,108国道,四川省,"会理县
攀枝花市",2015,180,梁式桥,127,101.9267333,26.36831667,958
皎平渡大桥,,213省道,"四川省
云南省","会理县
禄劝县",1991,144,斜拉桥,130,102.3830278,26.29278889,883
河门口大桥,,公路,"四川省
云南省","会东县
禄劝县",2019,240,梁式桥,132,102.5971611,26.35197222,839
金东大桥,,公路,"四川省
云南省","会东县
昆明市",2018,730,悬索桥,135,103.0405778,26.50995,698
葫芦口大桥,,"212省道
 310省道
 303省道","四川省
云南省","宁南县
巧家县",1998,160,拱桥,136,102.89005,26.96447222,631
冯家坪桥,,464省道,"四川省
云南省","布拖县
巧家县",2018,280,拱桥,143,102.8983917,27.32139444,638
对坪桥,,公路,"四川省
云南省","金阳县
巧家县",2018,280,拱桥,145,103.0988294,27.40054778,561
桧溪金沙江大桥,,公路,"四川省
云南省","雷波县
永善县",2006,158,梁式桥,152,103.87503,28.31724111,360
南岸金沙江大桥,,213国道,"四川省
云南省","屏山县
绥江县",2001,150,拱桥,153,103.86995,28.65966111,308
云川金沙江大桥,,公路,"四川省
云南省","屏山县
绥江县",2015,228,梁式桥,155,103.9897611,28.615,292
宜水高速公路金沙江大桥,,银昆高速,四川省,宜宾市,2006,249,梁式桥,158,104.5233167,28.68884444,261
马鸣溪大桥,,206省道,四川省,宜宾市,1979,150,拱桥,160,104.5563944,28.70115556,263
中坝大桥,,公路,四川省,宜宾市,2003,252,斜拉桥,163,104.6108667,28.75586667,253
宜宾金沙江铁路大桥,,宜珙铁路,四川省,宜宾市,1968,176,梁式桥,164,104.6171611,28.75923333,252
南门大桥,,公路,四川省,宜宾市,"1990
(2002)",240,拱桥,165,104.62495,28.76384444,253
戎州大桥,,公路,四川省,宜宾市,2004,260,拱桥,166,104.6286056,28.76673333,253
宜宾长江大桥,宜宾长江大桥,307省道,四川省,宜宾市,2008,931.31,斜拉桥,167,104.652815,28.75976,301
南溪长江大桥,南溪长江大桥,成渝环线高速,四川省,宜宾市,2012,1295.59,悬索桥,170,105.089767,28.728611,283
隆纳高速长江大桥,隆纳高速长江大桥,厦蓉高速,四川省,泸州市,2000,1408,梁式桥,174,105.444485,28.865561,247
泸州长江铁路大桥,泸州长江铁路大桥,隆黄铁路,四川省,泸州市,2004,1445,梁式桥,176,105.474305,28.533509,410
永川长江大桥,永川长江大桥,重庆三环高速,重庆市,"永川区
江津区",2014,1895.8,斜拉桥,192,105.887295,29.040637,239
江津长江大桥,江津长江大桥,107省道,重庆市,江津区,1997,1360,梁式桥,195,105.887295,29.040637,239
几江长江大桥,几江长江大桥,六车道公路,重庆市,江津区,2016,1738,悬索桥,196,106.261201,29.293813,182
