name,time,app,authority,status,times,时间,备注,,,,,,,,,
jkl,9,高德地图,0,allow,1,3:12,清理后台了,1341,,,,,,,,
jkl,9,微信,0,allow,2,3:30,清理后台了,1324,,,,,,,,
jkl,12,西瓜视频,0,allow,6,8:58,,202,,,,,,,,
jkl,12,支付宝,0,allow,3,11:32,,257,,,,,,,,
jkl,12,QQ,0,allow,1,11:43,,883,,,,,,,,
jkl,12,高德地图,0,allow,6,11:45,没有使用,1347,,,,,,,,
jkl,12,微信,0,allow,6,11:49,,1330,,,,,,,,
jkl,12,第一弹泰日韩剧,0,forbidden,84,11:59,,1434,,,,,,,,
jkl,15,第一弹泰日韩剧,0,forbidden,37,13:32,,1471,,,,,,,,
jkl,15,高德地图,0,allow,6,12:30,,1353,,,,,,,,
jkl,15,哈_出行,0,allow,3,14:26,养单车,69,,,,,,,,
jkl,15,QQ,0,allow,10,14:27,,893,,,,,,,,
jkl,15,微博,0,allow,5,14:51,,418,,,,,,,,
jkl,15,网易云音乐,0,allow,2,14:57,,6,,,,,,,,
jkl,15,微信,0,allow,13,14:59,,1343,,,,,,,,
jkl,18,哈_出行,0,allow,3,16:05,,72,,,,,,,,
jkl,18,微博,0,allow,3,16:16,,421,,,,,,,,
jkl,18,网易邮箱大师,0,allow,1,16:43,,10,,,,,,,,
jkl,18,知乎,0,allow,2,17:19,,34,,,,,,,,
jkl,18,QQ,0,allow,2,5:20,,895,,,,,,,,
jkl,18,高德地图,0,allow,21,5:45,,1374,,,,,,,,
jkl,18,微信,0,allow,8,6:18,,1351,,,,,,,,
jkl,21,网易邮箱大师,0,allow,1,6:44,,11,,,,,,,,
jkl,21,QQ,0,allow,3,8:11,没用,898,,,,,,,,
jkl,21,高德地图,0,allow,14,8:13,没用,1388,,,,,,,,
jkl,21,微信,0,allow,10,9:28,,1361,,,,,,,,
jkl,24,QQ,0,allow,3,11:38,没用,901,,,,,,,,
jkl,24,微信,0,allow,14,11:40,,1375,,,,,,,,
jkl,24,高德地图,0,allow,16,11:40,没用,1404,,,,,,,,
csj,9,微信,0,allow,5,9:32,1250,,,,,,,,,
csj,9,微博,0,allow,5,9:32,771,,,,,,,,,
csj,9,快应用中心,0,allow,3,8:28,974,,,,,,,,,
csj,9,支付宝,0,allow,4,8:28,1026,,,,,,,,,
csj,9,QQ,0,allow,3,7:44,501,,,,,,,,,
csj,9,石墨文档,0,allow,3,2:02,130,,,,,,,,,
csj,12,精品推荐,0,forbidden,1,10:49,27,,,,,,,,,
csj,12,快应用中心,0,allow,14,11:59,930,,,,,,,,,
csj,12,微信,0,allow,13,11:56,1251,,,,,,,,,
csj,12,支付宝,0,allow,8,11:55,1004,,,,,,,,,
csj,12,微博,0,allow,5,11:53,764,,,,,,,,,
csj,12,高德地图,0,allow,26,11:41,1952,,,,,,,,,
csj,12,手机淘宝,0,allow,10,11:31,480,,,,,,,,,
csj,12,QQ,0,allow,1,11:29,511,,,,,,,,,
csj,12,WPS Office,0,allow,6,11:06,526,,,,,,,,,
csj,12,知乎,0,allow,2,10:01,106,,,,,,,,,
csj,15,微信,0,allow,13,2:53,1264,,,,,,,,,
csj,15,快应用中心,0,allow,25,2:40,955,,,,,,,,,
csj,15,虾米音乐,0,allow,3,2:24,55,,,,,,,,,
csj,15,高德地图,0,allow,12,2:16,1964,,,,,,,,,
csj,15,支付宝,0,allow,5,2:13,1009,,,,,,,,,
csj,15,手机淘宝,0,allow,4,2:01,484,,,,,,,,,
csj,15,网易云音乐,0,allow,2,1:23,83,,,,,,,,,
csj,15,微博,0,allow,5,1:17,769,,,,,,,,,
csj,18,微博,0,allow,5,5:51,774,,,,,,,,,
csj,18,支付宝,0,allow,7,5:47,1016,,,,,,,,,
csj,18,微信,0,allow,5,5:32,1269,,,,,,,,,
